year,value,edu_encoded,area_clean_นอกเขตเทศบาล,area_clean_รวม,area_clean_เขตเทศบาล,sex_clean_ชาย,sex_clean_รวม,sex_clean_หญิง,quarter1,quarter2,quarter3,quarter4
2563,67.5,6,0,0,1,0,1,0,1,0,0,0
2563,64.8,6,0,0,1,1,0,0,1,0,0,0
2563,69.6,6,0,0,1,0,0,1,1,0,0,0
2563,76.5,6,1,0,0,0,1,0,1,0,0,0
2563,59.4,6,1,0,0,1,0,0,1,0,0,0
2563,34.4,6,0,1,0,0,1,0,0,1,0,0
2563,40.8,6,0,1,0,1,0,0,0,1,0,0
2563,28.3,6,0,1,0,0,0,1,0,1,0,0
2563,32.3,6,0,0,1,0,1,0,0,1,0,0
2563,50.8,6,0,0,1,1,0,0,0,1,0,0
2563,14.9,6,0,0,1,0,0,1,0,1,0,0
2563,37.2,6,1,0,0,0,1,0,0,1,0,0
2563,28.2,6,1,0,0,1,0,0,0,1,0,0
2563,46.1,6,1,0,0,0,0,1,0,1,0,0
2563,63.5,6,0,1,0,0,1,0,0,0,1,0
2563,53.8,6,0,1,0,1,0,0,0,0,1,0
2563,73.4,6,0,1,0,0,0,1,0,0,1,0
2563,76.1,6,0,0,1,0,1,0,0,0,1,0
2563,81.5,6,0,0,1,1,0,0,0,0,1,0
2563,71.7,6,0,0,1,0,0,1,0,0,1,0
2563,43.3,6,1,0,0,0,1,0,0,0,1,0
2563,20.4,6,1,0,0,1,0,0,0,0,1,0
2563,77.1,6,1,0,0,0,0,1,0,0,1,0
2556,88.1,7,0,1,0,0,1,0,1,0,0,0
2556,90.8,7,0,1,0,1,0,0,1,0,0,0
2556,85.9,7,0,1,0,0,0,1,1,0,0,0
2556,86.5,7,0,0,1,0,1,0,1,0,0,0
2556,89.6,7,0,0,1,1,0,0,1,0,0,0
2556,84.1,7,0,0,1,0,0,1,1,0,0,0
